an_id,platforms,logsource,channel,dc_id,dc_name
AN0013,macOS,macos:endpointsecurity,ES_EVENT_TYPE_NOTIFY_EXEC,DC0032,Process Creation
AN0013,macOS,macos:unifiedlog,subsystem=com.apple.process,DC0034,Process Metadata
AN0014,Linux,auditd:SYSCALL,execve,DC0032,Process Creation
AN0014,Linux,linux:osquery,event-based,DC0059,File Metadata
AN0014,Linux,linux:syslog,cron activity,DC0064,Command Execution
AN0015,Network Devices,NSM:Flow,Unexpected flows between segmented networks or prohibited ports,DC0078,Network Traffic Flow
AN0015,Network Devices,networkdevice:syslog,ACL/Firewall rule modification or new route injection,DC0085,Network Traffic Content
AN0016,Windows,WinEventLog:PowerShell,Get-ADTrust|GetAllTrustRelationships,DC0064,Command Execution
AN0016,Windows,WinEventLog:Security,EventCode=4662,DC0071,Active Directory Object Access
AN0016,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0016,Windows,WinEventLog:Sysmon,EventCode=7,DC0016,Module Load
AN0016,Windows,WinEventLog:Sysmon,EventCode=10,DC0035,Process Access
AN0017,IaaS,AWS:CloudTrail,"ConsoleLogin, AssumeRole, ListResources",DC0067,Logon Session Creation
AN0017,IaaS,gcp:audit,None,DC0064,Command Execution
AN0018,Identity Provider,Okta:SystemLog,"user.authentication.sso, app.oauth.grant",DC0067,Logon Session Creation
AN0019,Office Suite,m365:unified,"FileAccessed, MailboxAccessed",DC0055,File Access
AN0019,Office Suite,m365:unified,UserLoggedIn,DC0067,Logon Session Creation
AN0020,SaaS,saas:auth,"LoginSuccess, APIKeyUse, AdminAction",DC0067,Logon Session Creation
AN0021,Windows,NSM:Flow,First-time outbound connections to package registries or unknown hosts immediately after restore/build,DC0078,Network Traffic Flow
AN0021,Windows,WinEventLog:Microsoft-Windows-CodeIntegrity/Operational,Invalid/Unsigned image when developer tool launches newly installed binaries,DC0059,File Metadata
AN0021,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0021,Windows,WinEventLog:Sysmon,EventCode=7,DC0016,Module Load
AN0021,Windows,WinEventLog:Sysmon,EventCode=11,DC0039,File Creation
AN0021,Windows,WinEventLog:Sysmon,"EventCode=13, 14",DC0063,Windows Registry Key Modification
AN0022,Linux,NSM:Flow,First-time egress to new registries/CDNs post-install/build,DC0078,Network Traffic Flow
AN0022,Linux,auditd:SYSCALL,execve,DC0032,Process Creation
AN0022,Linux,auditd:SYSCALL,"rename, chmod",DC0020,Process Modification
AN0022,Linux,journald:package,dpkg/apt or yum/dnf transaction logs (install/update of build tools),DC0059,File Metadata
AN0023,macOS,NSM:Flow,First-time egress to non-approved registries after dependency install,DC0078,Network Traffic Flow
AN0023,macOS,macos:endpointsecurity,exec,DC0032,Process Creation
AN0023,macOS,macos:unifiedlog,"softwareupdated/homebrew/install logs, pkginstalld events",DC0059,File Metadata
AN0024,Windows,WinEventLog:Security,EventCode=4698,DC0001,Scheduled Job Creation
AN0024,Windows,WinEventLog:Security,EventCode=4657,DC0063,Windows Registry Key Modification
AN0024,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0024,Windows,WinEventLog:WMI,"Creation or modification of __EventFilter, __FilterToConsumerBinding, or CommandLineEventConsumer",DC0008,WMI Creation
AN0025,Linux,auditd:SYSCALL,Inotify watch creation or auditctl changes on /etc/cron* or /lib/systemd/system/,DC0059,File Metadata
AN0025,Linux,auditd:SYSCALL,Execution of script interpreters by systemd timer (ExecStart),DC0064,Command Execution
AN0025,Linux,linux:syslog,Execution of non-standard script or binary by cron,DC0001,Scheduled Job Creation
AN0026,macOS,macos:unifiedlog,Modification of ~/Library/LaunchAgents or /Library/LaunchDaemons plist,DC0061,File Modification
AN0026,macOS,macos:unifiedlog,Execution of launchctl with suspicious arguments,DC0032,Process Creation
AN0027,IaaS,AWS:CloudTrail,CreateFunction,DC0069,Cloud Service Modification
AN0027,IaaS,AWS:CloudTrail,InvokeFunction,DC0064,Command Execution
AN0028,SaaS,m365:unified,Creation of Power Automate flow triggered by OneDrive or Exchange event,DC0069,Cloud Service Modification
AN0028,SaaS,m365:unified,Automated forwarding or file sync initiated by a logic app,DC0064,Command Execution
AN0029,Office Suite,m365:office,"VBA auto_open, auto_close, or document_open events",DC0029,Script Execution
AN0029,Office Suite,m365:office,External HTTP/DNS connection from Office binary shortly after macro trigger,DC0085,Network Traffic Content
AN0030,Windows,NSM:Flow,TCP/UDP,DC0085,Network Traffic Content
AN0030,Windows,WinEventLog:Sysmon,"EventCode=3, 22",DC0082,Network Connection Creation
AN0030,Windows,WinEventLog:Sysmon,EventCode=10,DC0035,Process Access
AN0031,Linux,NSM:Flow,TCP session tracking,DC0085,Network Traffic Content
AN0031,Linux,auditd:SYSCALL,execve network tools,DC0032,Process Creation
AN0032,macOS,NSM:Flow,session behavior,DC0085,Network Traffic Content
AN0032,macOS,macos:osquery,process_events,DC0032,Process Creation
AN0032,macOS,macos:unifiedlog,connection attempts,DC0082,Network Connection Creation
AN0033,ESXi,esxi:hostd,System service interactions,DC0082,Network Connection Creation
AN0033,ESXi,esxi:vmkernel,Network activity,DC0085,Network Traffic Content
AN0034,Windows,WinEventLog:Sysmon,EventCode=11,DC0039,File Creation
AN0034,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0035,Linux,auditd:SYSCALL,execve calls to soffice.bin with suspicious macro execution flags,DC0032,Process Creation
AN0035,Linux,linux:syslog,Discrepancies in _VBA_PROJECT p-code vs source code extracted with oletools/pcodedmp,DC0059,File Metadata
AN0036,macOS,macos:unifiedlog,"Process execution of Microsoft Word, Excel, PowerPoint with macro execution attempts",DC0032,Process Creation
AN0036,macOS,macos:unifiedlog,Detection of altered _VBA_PROJECT or PerformanceCache streams,DC0059,File Metadata
AN0037,Windows,WinEventLog:PowerShell,"EventCode=4103, 4104, 4105, 4106",DC0064,Command Execution
AN0037,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0037,Windows,WinEventLog:Sysmon,EventCode=11,DC0039,File Creation
AN0038,Linux,auditd:SYSCALL,"open, read, or stat of browser config files",DC0055,File Access
AN0038,Linux,linux:syslog,Suspicious script or command execution targeting browser folders,DC0064,Command Execution
AN0039,macOS,macos:osquery,process reading browser configuration paths,DC0032,Process Creation
AN0039,macOS,macos:unifiedlog,Access to ~/Library/*/Safari or Chrome directories by non-browser processes,DC0055,File Access
AN0040,Windows,WinEventLog:Security,"EventCode=4663, 4670, 4656",DC0055,File Access
AN0040,Windows,WinEventLog:Sysmon,EventCode=11,DC0039,File Creation
AN0040,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0041,Linux,auditd:SYSCALL,creat,DC0039,File Creation
AN0041,Linux,auditd:SYSCALL,execve,DC0032,Process Creation
AN0042,macOS,macos:unifiedlog,file events,DC0055,File Access
AN0042,macOS,macos:unifiedlog,exec logs,DC0032,Process Creation
AN0043,IaaS,AWS:CloudTrail,"GetObject, CopyObject",DC0025,Cloud Storage Access
AN0043,IaaS,gcp:audit,Write operations to storage,DC0055,File Access
AN0044,ESXi,esxi:shell,"snapshot create/copy, esxcli",DC0064,Command Execution
AN0044,ESXi,esxi:vmkernel,VMFS access logs,DC0055,File Access
AN0045,Windows,WinEventLog:Security,EventCode=4688,DC0032,Process Creation
AN0045,Windows,WinEventLog:Sysmon,EventCode=5,DC0033,Process Termination
AN0046,Linux,auditd:SYSCALL,"execve: Commands like systemctl stop <service>, service <service> stop, or kill -9 <pid>",DC0064,Command Execution
AN0046,Linux,linux:syslog,Unexpected termination of daemons or critical services not aligned with admin change tickets,DC0033,Process Termination
AN0047,macOS,macos:osquery,process_termination: Unexpected termination of processes tied to vulnerable or high-value services,DC0033,Process Termination
AN0047,macOS,macos:unifiedlog,"launchctl unload, kill, or pkill commands affecting daemons or background services",DC0064,Command Execution
AN0048,Windows,WinEventLog:Security,EventCode=4688,DC0032,Process Creation
AN0048,Windows,WinEventLog:Sysmon,EventCode=7,DC0016,Module Load
AN0049,Linux,auditd:SYSCALL,execve,DC0032,Process Creation
AN0050,macOS,auditd:SYSCALL,execve,DC0032,Process Creation
AN0050,macOS,macos:unifiedlog,execution of security-agent detection or enumeration commands,DC0064,Command Execution
AN0051,Windows,WinEventLog:Security,EventCode=4657,DC0063,Windows Registry Key Modification
AN0051,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0051,Windows,WinEventLog:Sysmon,EventCode=7,DC0016,Module Load
AN0051,Windows,WinEventLog:Sysmon,EventCode=11,DC0039,File Creation
AN0052,Windows,WinEventLog:Microsoft-Windows-CodeIntegrity/Operational,CodeIntegrity/WDAC events indicating unsigned/invalid DLL loads,DC0034,Process Metadata
AN0052,Windows,WinEventLog:Security,EventCode=4688,DC0032,Process Creation
AN0052,Windows,WinEventLog:Sysmon,EventCode=7,DC0016,Module Load
AN0052,Windows,WinEventLog:Sysmon,EventCode=11,DC0039,File Creation
AN0052,Windows,WinEventLog:Sysmon,"EventCode=3, 22",DC0082,Network Connection Creation
AN0053,Linux,NSM:Flow,http/file-xfer: Inbound/outbound transfer of ELF shared objects,DC0085,Network Traffic Content
AN0053,Linux,auditd:EXECVE,execve: Processes launched with LD_PRELOAD/LD_LIBRARY_PATH pointing to non-system dirs,DC0032,Process Creation
AN0053,Linux,auditd:SYSCALL,openat/read/mmap: Open/mmap .so files from non-standard paths,DC0016,Module Load
AN0053,Linux,linux:syslog,sudo or service accounts invoking loaders with suspicious env vars,DC0034,Process Metadata
AN0054,macOS,macos:endpointsecurity,exec: Process execution context for loaders calling dlopen/dlsym,DC0032,Process Creation
AN0054,macOS,macos:endpointsecurity,ES_EVENT_TYPE_NOTIFY_OPEN: Open of .dylib/.so in user-writable locations,DC0055,File Access
AN0054,macOS,macos:unifiedlog,dyld/unified log entries indicating image load from non-system paths,DC0016,Module Load
AN0055,Windows,EDR:file,"File Metadata Inspection (Low String Entropy, Missing PDB)",DC0059,File Metadata
AN0055,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0055,Windows,WinEventLog:Sysmon,EventCode=11,DC0039,File Creation
AN0056,Linux,auditd:EXECVE,EXECVE,DC0032,Process Creation
AN0056,Linux,auditd:SYSCALL,"open, write",DC0061,File Modification
AN0056,Linux,linux:osquery,"hash, elf_info, file_metadata",DC0059,File Metadata
AN0057,macOS,macos:endpointsecurity,ES_EVENT_TYPE_NOTIFY_EXEC,DC0032,Process Creation
AN0057,macOS,macos:osquery,"code_signing, file_metadata",DC0059,File Metadata
AN0057,macOS,macos:unifiedlog,file write,DC0039,File Creation
AN0058,Network Devices,NSM:Flow,"http.log, files.log",DC0085,Network Traffic Content
AN0059,Linux,NSM:Flow,unexpected network activity initiated shortly after shell session starts,DC0085,Network Traffic Content
AN0059,Linux,auditd:EXECVE,execution of unexpected binaries during user shell startup,DC0032,Process Creation
AN0059,Linux,auditd:SYSCALL,"AUDIT_SYSCALL (open, write, rename, unlink)",DC0061,File Modification
AN0060,macOS,macos:endpointsecurity,"ES_EVENT_TYPE_NOTIFY_WRITE, targeting .zshrc, .zlogin, .zprofile",DC0061,File Modification
AN0060,macOS,macos:unifiedlog,launch of Terminal.app or shell with non-standard environment setup,DC0032,Process Creation
AN0061,Windows,WinEventLog:Security,EventCode=4672,DC0088,Logon Session Metadata
AN0061,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0061,Windows,WinEventLog:Sysmon,EventCode=4,DC0041,Service Metadata
AN0061,Windows,WinEventLog:System,EventCode=7036,DC0060,Service Creation
AN0062,Linux,auditd:SYSCALL,execve of systemctl or service stop,DC0032,Process Creation
AN0062,Linux,auditd:SYSCALL,unlink/unlinkat on service binaries or data targets,DC0040,File Deletion
AN0062,Linux,linux:syslog,service stopped messages,DC0041,Service Metadata
AN0063,macOS,auditd:SYSCALL,execve of launchctl or pkill,DC0032,Process Creation
AN0063,macOS,macos:unifiedlog,launchctl disable or bootout calls,DC0041,Service Metadata
AN0064,ESXi,esxi:hostd,Stop VM or disable service events via vim-cmd,DC0041,Service Metadata
AN0064,ESXi,esxi:hostd,Log entries indicating VM powered off or forcibly terminated,DC0033,Process Termination
AN0065,Windows,NSM:Flow,HTTP/WebDAV requests that contain NTLMSSP or PROPFIND/MOVE/OPTIONS with Authorization: NTLM,DC0085,Network Traffic Content
AN0065,Windows,NSM:Flow,"Outbound connections to TCP 139,445 and HTTP/HTTPS to WebDAV endpoints from workstation subnets",DC0078,Network Traffic Flow
AN0065,Windows,WinEventLog:Security,"EventCode=4663, 4670, 4656",DC0061,File Modification
AN0065,Windows,WinEventLog:Sysmon,EventCode=11,DC0039,File Creation
AN0066,Windows,WinEventLog:Sysmon,EventCode=10,DC0035,Process Access
AN0066,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0067,Linux,auditd:SYSCALL,execve,DC0032,Process Creation
AN0067,Linux,auditd:SYSCALL,mprotect,DC0020,Process Modification
AN0068,macOS,macos:endpointsecurity,ES_EVENT_MMAP,DC0020,Process Modification
AN0068,macOS,macos:unifiedlog,process::exec,DC0032,Process Creation
AN0069,Linux,auditd:SYSCALL,open: File access attempt on /tmp/krb5cc_* or /tmp/krb5.ccache,DC0055,File Access
AN0069,Linux,auditd:SYSCALL,"execve: Execution of klist, kinit, or tools interacting with ccache outside normal user context",DC0032,Process Creation
AN0070,macOS,macos:osquery,Execution of non-standard binaries accessing Kerberos APIs,DC0032,Process Creation
AN0070,macOS,macos:unifiedlog,Kerberos framework calls to API:{uuid} cache outside normal process lineage,DC0055,File Access
AN0071,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0071,Windows,WinEventLog:Sysmon,EventCode=11,DC0039,File Creation
AN0071,Windows,WinEventLog:Sysmon,EventCode=7,DC0016,Module Load
AN0071,Windows,WinEventLog:Sysmon,"EventCode=3, 22",DC0082,Network Connection Creation
AN0072,Linux,WinEventLog:Sysmon,EventCode=11,DC0039,File Creation
AN0072,Linux,auditd:SYSCALL,execve: Electron-based binary spawning shell or script interpreter,DC0032,Process Creation
AN0073,macOS,macos:osquery,CREATE/MODIFY: Modification of app.asar inside .app bundle,DC0039,File Creation
AN0073,macOS,macos:unifiedlog,Electron app spawning unexpected child process,DC0032,Process Creation
AN0074,Windows,WinEventLog:Sysmon,"EventCode=13, 14",DC0063,Windows Registry Key Modification
AN0074,Windows,WinEventLog:Sysmon,EventCode=11,DC0039,File Creation
AN0074,Windows,WinEventLog:Sysmon,EventCode=7,DC0016,Module Load
AN0074,Windows,WinEventLog:Sysmon,EventCode=10,DC0035,Process Access
AN0075,Windows,NSM:Flow,"http.log, ssl.log",DC0085,Network Traffic Content
AN0075,Windows,WinEventLog:Sysmon,"EventCode=3, 22",DC0082,Network Connection Creation
AN0076,Linux,NSM:Flow,"http.log, conn.log",DC0085,Network Traffic Content
AN0076,Linux,auditd:SYSCALL,execve,DC0032,Process Creation
AN0077,macOS,macos:osquery,socket_events,DC0078,Network Traffic Flow
AN0077,macOS,macos:unifiedlog,log stream --predicate,DC0064,Command Execution
AN0078,ESXi,NSM:Flow,SPAN or port-mirrored HTTP/S,DC0085,Network Traffic Content
AN0078,ESXi,esxi:shell,/root/.ash_history or /etc/init.d/*,DC0032,Process Creation
AN0079,Network Devices,NSM:Flow,"http.log, ssl.log, websocket.log",DC0085,Network Traffic Content
AN0080,Windows,WinEventLog:Sysmon,"EventCode=3, 22",DC0082,Network Connection Creation
AN0080,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0081,Linux,NSM:Flow,large outbound data flows or long-duration connections,DC0078,Network Traffic Flow
AN0081,Linux,auditd:SYSCALL,execve calls with high-frequency or known bandwidth-intensive tools,DC0032,Process Creation
AN0082,macOS,macos:unifiedlog,process + network metrics correlation for bandwidth saturation,DC0085,Network Traffic Content
AN0082,macOS,macos:unifiedlog,exec or spawn calls to proxy tools or torrent clients,DC0032,Process Creation
AN0083,Containers,containers:osquery,bandwidth-intensive command execution from within a container namespace,DC0032,Process Creation
AN0083,Containers,docker:stats,unusual network TX/RX byte deltas,DC0085,Network Traffic Content
AN0084,IaaS,AWS:CloudTrail,StartInstances,DC0080,Instance Start
AN0084,IaaS,AWS:VPCFlowLogs,egress > 90th percentile or frequent connection reuse,DC0078,Network Traffic Flow
AN0085,Windows,WinEventLog:Application,Outlook errors loading or processing custom form templates,DC0038,Application Log Content
AN0085,Windows,WinEventLog:PowerShell,Execution of Microsoft script to enumerate custom forms in Outlook mailbox,DC0064,Command Execution
AN0085,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0085,Windows,WinEventLog:Sysmon,EventCode=7,DC0016,Module Load
AN0086,Office Suite,m365:messagetrace,Inbound email triggers execution of mailbox-stored custom form,DC0064,Command Execution
AN0086,Office Suite,m365:unified,"Unusual form activity within Outlook client, including load of non-default forms",DC0038,Application Log Content
AN0087,IaaS,AWS:CloudTrail,"PutUserPolicy, PutGroupPolicy, PutRolePolicy, CreatePolicyVersion",DC0069,Cloud Service Modification
AN0088,Identity Provider,azure:activity,Update conditionalAccessPolicy,DC0066,Active Directory Object Modification
AN0088,Identity Provider,saas:okta,Conditional Access policy rule modified or MFA requirement disabled,DC0038,Application Log Content
AN0089,Windows,WinEventLog:PowerShell,"EventCode=4103, 4104, 4105, 4106",DC0064,Command Execution
AN0089,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0089,Windows,WinEventLog:Windows Defender,Operational log,DC0059,File Metadata
AN0090,macOS,fs:fileevents,/var/log/install.log,DC0061,File Modification
AN0090,macOS,macos:endpointsecurity,ES_EVENT_TYPE_NOTIFY_EXEC,DC0032,Process Creation
AN0090,macOS,macos:unifiedlog,subsystem:syspolicyd,DC0059,File Metadata
AN0091,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0091,Windows,WinEventLog:Sysmon,EventCode=11,DC0039,File Creation
AN0092,Linux,auditd:EXECVE,Use of mv or cp to rename files with '.' prefix,DC0064,Command Execution
AN0092,Linux,auditd:FILE,File creation with name starting with '.',DC0039,File Creation
AN0093,macOS,macos:unifiedlog,Execution of chflags hidden or SetFile -a V,DC0064,Command Execution
AN0093,macOS,macos:unifiedlog,File metadata updated with UF_HIDDEN flag,DC0059,File Metadata
AN0094,Windows,WinEventLog:Sysmon,EventCode=11,DC0039,File Creation
AN0094,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0094,Windows,WinEventLog:Sysmon,"EventCode=13, 14",DC0063,Windows Registry Key Modification
AN0094,Windows,WinEventLog:Sysmon,EventCode=15,DC0059,File Metadata
AN0095,Windows,WinEventLog:Security,EventCode=4688,DC0032,Process Creation
AN0095,Windows,WinEventLog:Sysmon,EventCode=10,DC0035,Process Access
AN0096,Linux,auditd:SYSCALL,execve,DC0032,Process Creation
AN0096,Linux,auditd:SYSCALL,openat,DC0055,File Access
AN0096,Linux,linux:osquery,Process State,DC0035,Process Access
AN0097,macOS,macos:osquery,Process Context,DC0034,Process Metadata
AN0097,macOS,macos:unifiedlog,process launch,DC0032,Process Creation
AN0098,ESXi,esxi:auth,user session,DC0034,Process Metadata
AN0098,ESXi,esxi:shell,interactive shell,DC0064,Command Execution
AN0099,Network Devices,networkdevice:cli,CLI command,DC0064,Command Execution
AN0099,Network Devices,networkdevice:syslog,Admin activity,DC0034,Process Metadata
AN0100,Windows,WinEventLog:Sysmon,"EventCode=3, 22",DC0082,Network Connection Creation
AN0100,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0100,Windows,etw:Microsoft-Windows-WinINet,HTTPS Inspection,DC0085,Network Traffic Content
AN0101,Linux,NSM:Flow,conn.log,DC0078,Network Traffic Flow
AN0101,Linux,NSM:Flow,ssl.log,DC0085,Network Traffic Content
AN0101,Linux,auditd:SYSCALL,execve,DC0032,Process Creation
AN0102,macOS,NSM:Connections,web domain alerts,DC0082,Network Connection Creation
AN0102,macOS,macos:unifiedlog,"log stream --info --predicate 'subsystem == ""com.apple.cfprefsd""'",DC0032,Process Creation
AN0103,Identity Provider,ApplicationLog:EntraIDPortal,DeviceRegistration events,DC0038,Application Log Content
AN0103,Identity Provider,azure:audit,"Operation IN (""Add device"", ""Add registered users to device"", ""Add registered owner to device"")",DC0010,User Account Modification
AN0103,Identity Provider,azure:audit,New device object creation,DC0087,Active Directory Object Creation
AN0104,Windows,ApplicationLog:Intune/MDM Logs,"Enrollment events (e.g., MDMDeviceRegistration)",DC0038,Application Log Content
AN0104,Windows,WinEventLog:Security,Device Object Creation,DC0087,Active Directory Object Creation
AN0105,Windows,WinEventLog:Security,"EventCode=4663, 4670, 4656",DC0055,File Access
AN0105,Windows,WinEventLog:Sysmon,EventCode=10,DC0035,Process Access
AN0105,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0106,Linux,auditd:FILE,/home/*/.mozilla/firefox/*/logins.json OR /home/*/.config/google-chrome/*/Login Data,DC0055,File Access
AN0106,Linux,auditd:SYSCALL,ptrace attach,DC0035,Process Access
AN0107,macOS,macos:unifiedlog,"execution of security, sqlite3, or unauthorized binaries",DC0032,Process Creation
AN0107,macOS,macos:unifiedlog,~/Library/Application Support/Google/Chrome/*/Login Data OR ~/Library/Application Support/Firefox/*/logins.json,DC0055,File Access
AN0108,Windows,WinEventLog:Sysmon,EventCode=11,DC0039,File Creation
AN0108,Windows,WinEventLog:Sysmon,EventCode=15,DC0059,File Metadata
AN0108,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0108,Windows,WinEventLog:Sysmon,EventCode=7,DC0016,Module Load
AN0109,Windows,WinEventLog:Sysmon,"EventCode=3, 22",DC0082,Network Connection Creation
AN0109,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0110,Linux,auditd:SYSCALL,socket/connect,DC0078,Network Traffic Flow
AN0110,Linux,linux:syslog,Query to suspicious domain with high entropy or low reputation,DC0085,Network Traffic Content
AN0111,macOS,macos:unifiedlog,DNS query with pseudo-random subdomain patterns,DC0085,Network Traffic Content
AN0111,macOS,macos:unifiedlog,Unexpected applications generating outbound DNS queries,DC0032,Process Creation
AN0112,ESXi,esxi:syslog,esxcli network vswitch or DNS resolver configuration updates,DC0078,Network Traffic Flow
AN0113,Windows,WinEventLog:Security,"EventCode=4726, 4657",DC0009,User Account Deletion
AN0113,Windows,WinEventLog:Security,EventCode=4657,DC0063,Windows Registry Key Modification
AN0113,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0113,Windows,WinEventLog:TaskScheduler,EventCode=106,DC0001,Scheduled Job Creation
AN0114,Linux,auditd:SYSCALL,execve,DC0032,Process Creation
AN0114,Linux,auditd:SYSCALL,file deletion,DC0040,File Deletion
AN0115,macOS,macos:osquery,file_events,DC0040,File Deletion
AN0115,macOS,macos:unifiedlog,log stream,DC0064,Command Execution
AN0116,ESXi,esxi:shell,shell history,DC0040,File Deletion
AN0116,ESXi,esxi:vmkernel,/var/log/vmkernel.log,DC0064,Command Execution
AN0117,IaaS,AWS:CloudTrail,"PutBucketLifecycle, PutLifecycleConfiguration, SetBucketLifecycle, storage.buckets.update",DC0023,Cloud Storage Modification
AN0118,Windows,WinEventLog:Sysmon,EventCode=1,DC0032,Process Creation
AN0118,Windows,WinEventLog:Sysmon,EventCode=7,DC0016,Module Load
AN0118,Windows,WinEventLog:Sysmon,"EventCode=13, 14",DC0063,Windows Registry Key Modification
AN0118,Windows,WinEventLog:Sysmon,"EventCode=3, 22",DC0082,Network Connection Creation
AN0119,Windows,WinEventLog:Security,EventCode=4688,DC0032,Process Creation
AN0119,Windows,etw:Microsoft-Windows-Kernel-Base,"GetLocaleInfoW, GetTimeZoneInformation API calls",DC0021,OS API Execution
AN0120,Linux,auditd:SYSCALL,"execve calls to locale, timedatectl, or cat /etc/timezone",DC0064,Command Execution
AN0120,Linux,linux:Sysmon,EventCode=1,DC0032,Process Creation
AN0121,macOS,macos:osquery,execve,DC0032,Process Creation
AN0121,macOS,macos:unifiedlog,"defaults read -g AppleLocale, systemsetup -gettimezone",DC0064,Command Execution
AN0122,IaaS,AWS:CloudTrail,"GetMetadata, DescribeInstanceIdentity",DC0021,OS API Execution
AN0122,IaaS,azure:vpcflow,HTTP requests to 169.254.169.254 or Azure Metadata endpoints,DC0085,Network Traffic Content
AN0123,Windows,WinEventLog:Security,EventCode=4688,DC0032,Process Creation
AN0123,Windows,WinEventLog:Sysmon,EventCode=11,DC0039,File Creation
AN0123,Windows,WinEventLog:Sysmon,"EventCode=3, 22",DC0082,Network Connection Creation
AN0123,Windows,WinEventLog:Sysmon,"EventCode=13, 14",DC0063,Windows Registry Key Modification
AN0124,macOS,macos:unifiedlog,profiles install -type=configuration,DC0064,Command Execution
AN0124,macOS,macos:unifiedlog,Creation or modification of browser extension .plist files,DC0039,File Creation
AN0124,macOS,macos:unifiedlog,Unexpected child process of Safari or Chrome,DC0032,Process Creation
AN0125,Linux,NSM:Flow,Browser connections to known C2 or dynamic DNS domains,DC0085,Network Traffic Content
AN0125,Linux,auditd:SYSCALL,open,DC0055,File Access
